17/08/2010;Republic Fleet EMP L;6452;1111,01
17/08/2010;Gallente Industrial;1;330999,99
17/08/2010;Ocular Filter - Standard;4;20604200,01
17/08/2010;Buzzard;1;12141000,69
17/08/2010;Manticore;5;13901000,7
17/08/2010;Heavy Armor Maintenance Bot II;50;1000001,63
17/08/2010;Caldari Navy Antimatter Charge S;100000;500,18
19/08/2010;Sisters Core Scanner Probe;2;601007,27
19/08/2010;Sisters Core Scanner Probe;52;601008,03
19/08/2010;Sisters Core Scanner Probe;148;601008,03
19/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
19/08/2010;Republic Fleet EMP L;6452;1111,01
19/08/2010;Gallente Industrial;1;330999,99
19/08/2010;Ocular Filter - Standard;4;20604200,01
19/08/2010;Buzzard;1;12141000,69
19/08/2010;Manticore;5;13901000,7
19/08/2010;Heavy Armor Maintenance Bot II;50;1000001,63
19/08/2010;Caldari Navy Antimatter Charge S;100000;500,18
19/08/2010;Sisters Combat Scanner Probe;164;581021,05
19/08/2010;Sisters Combat Scanner Probe;31;581021,05
19/08/2010;Memory Augmentation - Standard;10;20107801,02
20/08/2010;Sisters Core Scanner Probe;134;601008,03
20/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
20/08/2010;Republic Fleet EMP L;6452;1111,01
20/08/2010;Gallente Industrial;1;330999,99
20/08/2010;Ocular Filter - Standard;3;20604200,01
20/08/2010;Heavy Armor Maintenance Bot II;50;1000001,63
20/08/2010;Caldari Navy Antimatter Charge S;100000;500,18
20/08/2010;Sisters Combat Scanner Probe;73;581021,05
20/08/2010;Sisters Combat Scanner Probe;31;581021,05
20/08/2010;Buzzard;1;12900003,01
21/08/2010;Sisters Core Scanner Probe;24;601008,03
21/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
21/08/2010;Republic Fleet EMP L;4452;1111,01
21/08/2010;Gallente Industrial;1;330999,99
21/08/2010;Heavy Armor Maintenance Bot II;50;1000001,63
21/08/2010;Caldari Navy Antimatter Charge S;75490;500,18
21/08/2010;Buzzard;2;13000001,01
